,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
0,1,0,0,42,2,0.0,0,1,1,101348.88,1
1,1,1,0,41,1,83807.86,0,0,1,112542.58,0
2,0,0,0,42,8,159660.8,1,1,0,113931.57,1
3,2,0,0,39,1,0.0,0,0,0,93826.63,0
4,4,1,0,43,2,125510.82,0,1,1,79084.1,0
5,1,1,1,44,8,113755.78,0,1,0,149756.71,1
6,4,0,1,50,7,0.0,0,1,1,10062.8,0
7,0,2,0,29,4,115046.74,1,1,0,119346.88,1
8,0,0,1,44,4,142051.07,0,0,1,74940.5,0
9,2,0,1,27,2,134603.88,0,1,1,71725.73,0
10,0,0,1,31,6,102016.72,0,0,0,80181.12,0
11,0,1,1,24,3,0.0,0,1,0,76390.01,0
12,0,0,0,34,10,0.0,0,1,0,26260.98,0
13,0,0,0,25,5,0.0,0,0,0,190857.79,0
14,1,1,0,35,7,0.0,0,1,1,65951.65,0
15,1,2,1,45,3,143129.41,0,0,1,64327.26,0
16,1,2,1,58,1,132602.88,0,1,0,5097.67,1
17,0,1,0,24,9,0.0,0,1,1,14406.41,0
18,1,1,1,45,6,0.0,0,0,0,158684.81,0
19,2,0,0,24,6,0.0,0,1,1,54724.03,0
20,2,0,1,41,8,0.0,0,1,1,170886.17,0
21,1,1,0,32,8,0.0,0,1,0,138555.46,0
22,0,1,0,38,4,0.0,0,1,0,118913.53,1
23,1,0,1,46,3,0.0,0,0,1,8487.75,0
24,4,0,0,38,5,0.0,0,1,1,187616.16,0
25,0,0,1,25,3,0.0,0,0,1,124508.29,0
26,3,2,1,36,2,136815.64,0,1,1,170041.95,0
27,0,0,1,44,9,0.0,0,0,0,38433.35,0
28,0,2,0,43,3,141349.43,0,1,1,100187.43,0
29,0,0,1,29,0,59697.17,0,1,1,53483.21,0
30,1,1,0,39,3,0.0,1,1,0,140469.38,1
31,0,0,1,36,7,85311.7,0,0,1,156731.91,0
32,0,2,1,41,9,110112.54,0,0,0,81898.81,0
33,0,1,0,42,6,0.0,0,1,1,34410.55,0
34,2,1,0,29,9,0.0,0,1,1,142033.07,0
35,0,0,0,45,0,134264.04,0,1,0,27822.99,1
36,0,1,1,31,3,145260.23,0,0,1,114066.77,0
